municipio,zona,altitud_m,year,month,rainfall,eto_mm_day,rain_mm_day,water_stress_index,stress_level
Asuncion Mita,oriente_seco,500,2010,1,1.1,4.428,0.037,32.402,alto
Asuncion Mita,oriente_seco,500,2010,2,5.0,5.177,0.167,19.412,alto
Asuncion Mita,oriente_seco,500,2010,3,1.5,6.646,0.05,44.304,alto
Asuncion Mita,oriente_seco,500,2010,4,36.7,5.578,1.223,4.215,alto
Asuncion Mita,oriente_seco,500,2010,5,219.3,5.02,7.31,0.677,bajo
Asuncion Mita,oriente_seco,500,2010,6,164.3,4.014,5.477,0.72,bajo
Asuncion Mita,oriente_seco,500,2010,7,156.2,4.195,5.207,0.79,bajo
Asuncion Mita,oriente_seco,500,2010,8,226.2,3.761,7.54,0.492,bajo
Asuncion Mita,oriente_seco,500,2010,9,282.7,3.494,9.423,0.367,bajo
Asuncion Mita,oriente_seco,500,2010,10,16.6,3.735,0.553,5.717,alto
Asuncion Mita,oriente_seco,500,2010,11,13.6,3.656,0.453,6.608,alto
Asuncion Mita,oriente_seco,500,2010,12,0.9,3.813,0.03,29.329,alto
Asuncion Mita,oriente_seco,500,2011,1,1.3,4.462,0.043,31.129,alto
Asuncion Mita,oriente_seco,500,2011,2,2.6,5.137,0.087,27.521,alto
Asuncion Mita,oriente_seco,500,2011,3,4.4,6.24,0.147,25.296,alto
Asuncion Mita,oriente_seco,500,2011,4,50.4,5.692,1.68,3.198,alto
Asuncion Mita,oriente_seco,500,2011,5,78.8,5.283,2.627,1.938,alto
Asuncion Mita,oriente_seco,500,2011,6,138.7,4.371,4.623,0.925,bajo
Asuncion Mita,oriente_seco,500,2011,7,122.4,4.187,4.08,1.002,medio
Asuncion Mita,oriente_seco,500,2011,8,162.4,4.42,5.413,0.802,bajo
Asuncion Mita,oriente_seco,500,2011,9,160.9,3.911,5.363,0.716,bajo
Asuncion Mita,oriente_seco,500,2011,10,311.8,3.215,10.393,0.306,bajo
Asuncion Mita,oriente_seco,500,2011,11,8.4,3.597,0.28,9.465,alto
Asuncion Mita,oriente_seco,500,2011,12,0.8,3.346,0.027,26.418,alto
Asuncion Mita,oriente_seco,500,2012,1,2.6,3.78,0.087,20.251,alto
Asuncion Mita,oriente_seco,500,2012,2,1.5,4.611,0.05,30.738,alto
Asuncion Mita,oriente_seco,500,2012,3,2.5,5.939,0.083,32.394,alto
Asuncion Mita,oriente_seco,500,2012,4,28.0,5.747,0.933,5.562,alto
Asuncion Mita,oriente_seco,500,2012,5,138.5,4.561,4.617,0.967,bajo
Asuncion Mita,oriente_seco,500,2012,6,79.0,4.378,2.633,1.602,alto
Asuncion Mita,oriente_seco,500,2012,7,67.1,4.889,2.237,2.092,alto
Asuncion Mita,oriente_seco,500,2012,8,174.4,4.418,5.813,0.747,bajo
Asuncion Mita,oriente_seco,500,2012,9,44.6,4.262,1.487,2.686,alto
Asuncion Mita,oriente_seco,500,2012,10,70.7,3.903,2.357,1.589,alto
Asuncion Mita,oriente_seco,500,2012,11,2.6,3.686,0.087,19.749,alto
Asuncion Mita,oriente_seco,500,2012,12,1.2,4.199,0.04,29.989,alto
Asuncion Mita,oriente_seco,500,2013,1,2.8,4.416,0.093,22.839,alto
Asuncion Mita,oriente_seco,500,2013,2,1.3,5.403,0.043,37.695,alto
Asuncion Mita,oriente_seco,500,2013,3,1.3,6.403,0.043,44.67,alto
Asuncion Mita,oriente_seco,500,2013,4,7.6,5.895,0.253,16.683,alto
Asuncion Mita,oriente_seco,500,2013,5,64.9,5.185,2.163,2.291,alto
Asuncion Mita,oriente_seco,500,2013,6,70.1,4.415,2.337,1.812,alto
Asuncion Mita,oriente_seco,500,2013,7,69.7,4.29,2.323,1.77,alto
Asuncion Mita,oriente_seco,500,2013,8,153.1,4.443,5.103,0.854,bajo
Asuncion Mita,oriente_seco,500,2013,9,218.1,3.755,7.27,0.51,bajo
Asuncion Mita,oriente_seco,500,2013,10,120.3,3.996,4.01,0.972,bajo
Asuncion Mita,oriente_seco,500,2013,11,9.9,3.497,0.33,8.134,alto
Asuncion Mita,oriente_seco,500,2013,12,12.3,3.606,0.41,7.07,alto
Asuncion Mita,oriente_seco,500,2014,1,0.6,4.197,0.02,34.973,alto
Asuncion Mita,oriente_seco,500,2014,2,0.9,5.084,0.03,39.105,alto
Asuncion Mita,oriente_seco,500,2014,3,10.5,6.113,0.35,13.585,alto
Asuncion Mita,oriente_seco,500,2014,4,4.5,6.02,0.15,24.08,alto
Asuncion Mita,oriente_seco,500,2014,5,82.3,4.74,2.743,1.667,alto
Asuncion Mita,oriente_seco,500,2014,6,129.0,4.068,4.3,0.924,bajo
Asuncion Mita,oriente_seco,500,2014,7,16.0,5.044,0.533,7.964,alto
Asuncion Mita,oriente_seco,500,2014,8,53.3,4.837,1.777,2.578,alto
Asuncion Mita,oriente_seco,500,2014,9,218.0,3.872,7.267,0.526,bajo
Asuncion Mita,oriente_seco,500,2014,10,195.2,3.712,6.507,0.562,bajo
Asuncion Mita,oriente_seco,500,2014,11,12.5,3.433,0.417,6.644,alto
Asuncion Mita,oriente_seco,500,2014,12,0.4,3.459,0.013,30.518,alto
Asuncion Mita,oriente_seco,500,2015,1,0.8,3.751,0.027,29.61,alto
Asuncion Mita,oriente_seco,500,2015,2,0.8,4.85,0.027,38.287,alto
Asuncion Mita,oriente_seco,500,2015,3,6.6,5.525,0.22,17.266,alto
Asuncion Mita,oriente_seco,500,2015,4,23.1,5.882,0.77,6.761,alto
Asuncion Mita,oriente_seco,500,2015,5,30.1,5.592,1.003,5.069,alto
Asuncion Mita,oriente_seco,500,2015,6,119.1,4.495,3.97,1.105,medio
Asuncion Mita,oriente_seco,500,2015,7,45.1,4.863,1.503,3.033,alto
Asuncion Mita,oriente_seco,500,2015,8,64.7,5.336,2.157,2.364,alto
Asuncion Mita,oriente_seco,500,2015,9,252.8,3.9,8.427,0.457,bajo
Asuncion Mita,oriente_seco,500,2015,10,153.7,3.856,5.123,0.738,bajo
Asuncion Mita,oriente_seco,500,2015,11,65.9,3.49,2.197,1.52,alto
Asuncion Mita,oriente_seco,500,2015,12,3.3,3.762,0.11,17.914,alto
Asuncion Mita,oriente_seco,500,2016,1,0.6,4.109,0.02,34.244,alto
Asuncion Mita,oriente_seco,500,2016,2,0.5,4.927,0.017,42.232,alto
Asuncion Mita,oriente_seco,500,2016,3,17.5,5.57,0.583,8.152,alto
Asuncion Mita,oriente_seco,500,2016,4,11.6,5.95,0.387,12.225,alto
Asuncion Mita,oriente_seco,500,2016,5,27.0,5.666,0.9,5.666,alto
Asuncion Mita,oriente_seco,500,2016,6,98.6,4.927,3.287,1.455,medio
Asuncion Mita,oriente_seco,500,2016,7,68.6,4.917,2.287,2.06,alto
Asuncion Mita,oriente_seco,500,2016,8,70.2,4.657,2.34,1.909,alto
Asuncion Mita,oriente_seco,500,2016,9,120.2,4.184,4.007,1.019,medio
Asuncion Mita,oriente_seco,500,2016,10,7.0,4.094,0.233,12.283,alto
Asuncion Mita,oriente_seco,500,2016,11,26.8,3.762,0.893,3.787,alto
Asuncion Mita,oriente_seco,500,2016,12,11.9,3.936,0.397,7.926,alto
Asuncion Mita,oriente_seco,500,2017,1,0.6,4.815,0.02,40.128,alto
Asuncion Mita,oriente_seco,500,2017,2,0.7,5.37,0.023,43.543,alto
Asuncion Mita,oriente_seco,500,2017,3,1.7,5.953,0.057,37.999,alto
Asuncion Mita,oriente_seco,500,2017,4,16.5,6.602,0.55,10.157,alto
Asuncion Mita,oriente_seco,500,2017,5,103.4,4.551,3.447,1.283,medio
Asuncion Mita,oriente_seco,500,2017,6,215.3,3.942,7.177,0.542,bajo
Asuncion Mita,oriente_seco,500,2017,7,34.2,4.45,1.14,3.589,alto
Asuncion Mita,oriente_seco,500,2017,8,59.5,4.575,1.983,2.196,alto
Asuncion Mita,oriente_seco,500,2017,9,233.8,4.039,7.793,0.512,bajo
Asuncion Mita,oriente_seco,500,2017,10,64.6,3.348,2.153,1.486,medio
Asuncion Mita,oriente_seco,500,2017,11,2.3,3.57,0.077,20.209,alto
Asuncion Mita,oriente_seco,500,2017,12,0.9,3.436,0.03,26.433,alto
Asuncion Mita,oriente_seco,500,2018,1,0.9,3.986,0.03,30.659,alto
Asuncion Mita,oriente_seco,500,2018,2,10.5,5.309,0.35,11.797,alto
Asuncion Mita,oriente_seco,500,2018,3,3.9,6.507,0.13,28.293,alto
Asuncion Mita,oriente_seco,500,2018,4,20.6,5.451,0.687,6.93,alto
Asuncion Mita,oriente_seco,500,2018,5,304.7,4.782,10.157,0.466,bajo
Asuncion Mita,oriente_seco,500,2018,6,131.6,4.219,4.387,0.94,bajo
Asuncion Mita,oriente_seco,500,2018,7,26.1,5.013,0.87,5.168,alto
Asuncion Mita,oriente_seco,500,2018,8,73.5,4.681,2.45,1.836,alto
Asuncion Mita,oriente_seco,500,2018,9,130.1,4.215,4.337,0.95,bajo
Asuncion Mita,oriente_seco,500,2018,10,365.3,3.536,12.177,0.288,bajo
Asuncion Mita,oriente_seco,500,2018,11,5.0,3.802,0.167,14.258,alto
Asuncion Mita,oriente_seco,500,2018,12,0.9,3.864,0.03,29.719,alto
Asuncion Mita,oriente_seco,500,2019,1,0.8,4.351,0.027,34.346,alto
Asuncion Mita,oriente_seco,500,2019,2,3.3,5.385,0.11,25.645,alto
Asuncion Mita,oriente_seco,500,2019,3,0.2,6.543,0.007,61.34,alto
Asuncion Mita,oriente_seco,500,2019,4,36.4,6.255,1.213,4.763,alto
Asuncion Mita,oriente_seco,500,2019,5,121.2,4.422,4.04,1.068,medio
Asuncion Mita,oriente_seco,500,2019,6,56.8,4.846,1.893,2.431,alto
Asuncion Mita,oriente_seco,500,2019,7,27.3,5.055,0.91,5.005,alto
Asuncion Mita,oriente_seco,500,2019,8,72.5,4.857,2.417,1.93,alto
Asuncion Mita,oriente_seco,500,2019,9,156.7,4.481,5.223,0.842,bajo
Asuncion Mita,oriente_seco,500,2019,10,204.3,3.773,6.81,0.546,bajo
Asuncion Mita,oriente_seco,500,2019,11,4.1,3.635,0.137,15.359,alto
Asuncion Mita,oriente_seco,500,2019,12,10.5,3.772,0.35,8.383,alto
Asuncion Mita,oriente_seco,500,2020,1,1.8,4.291,0.06,26.822,alto
Asuncion Mita,oriente_seco,500,2020,2,3.5,5.463,0.117,25.215,alto
Asuncion Mita,oriente_seco,500,2020,3,0.8,6.397,0.027,50.503,alto
Asuncion Mita,oriente_seco,500,2020,4,5.2,6.241,0.173,22.833,alto
Asuncion Mita,oriente_seco,500,2020,5,333.9,4.762,11.13,0.424,bajo
Asuncion Mita,oriente_seco,500,2020,6,211.5,4.193,7.05,0.586,bajo
Asuncion Mita,oriente_seco,500,2020,7,51.5,4.452,1.717,2.45,alto
Asuncion Mita,oriente_seco,500,2020,8,163.2,4.382,5.44,0.791,bajo
Asuncion Mita,oriente_seco,500,2020,9,101.0,4.387,3.367,1.266,medio
Asuncion Mita,oriente_seco,500,2020,10,107.9,3.779,3.597,1.022,medio
Asuncion Mita,oriente_seco,500,2020,11,176.6,2.998,5.887,0.501,bajo
Asuncion Mita,oriente_seco,500,2020,12,2.7,3.41,0.09,17.946,alto
Asuncion Mita,oriente_seco,500,2021,1,1.6,3.698,0.053,24.116,alto
Asuncion Mita,oriente_seco,500,2021,2,0.7,4.75,0.023,38.516,alto
Asuncion Mita,oriente_seco,500,2021,3,1.7,5.674,0.057,36.215,alto
Asuncion Mita,oriente_seco,500,2021,4,13.3,5.606,0.443,10.317,alto
Asuncion Mita,oriente_seco,500,2021,5,50.1,4.995,1.67,2.822,alto
Asuncion Mita,oriente_seco,500,2021,6,92.8,4.415,3.093,1.383,medio
Asuncion Mita,oriente_seco,500,2021,7,77.0,4.696,2.567,1.761,alto
Asuncion Mita,oriente_seco,500,2021,8,111.9,4.533,3.73,1.184,medio
Asuncion Mita,oriente_seco,500,2021,9,100.1,4.222,3.337,1.228,medio
Asuncion Mita,oriente_seco,500,2021,10,53.7,4.174,1.79,2.209,alto
Asuncion Mita,oriente_seco,500,2021,11,6.6,3.476,0.22,10.863,alto
Asuncion Mita,oriente_seco,500,2021,12,2.6,3.666,0.087,19.637,alto
Asuncion Mita,oriente_seco,500,2022,1,1.9,3.981,0.063,24.373,alto
Asuncion Mita,oriente_seco,500,2022,2,0.6,4.699,0.02,39.159,alto
Asuncion Mita,oriente_seco,500,2022,3,2.7,5.203,0.09,27.383,alto
Asuncion Mita,oriente_seco,500,2022,4,18.8,5.371,0.627,7.392,alto
Asuncion Mita,oriente_seco,500,2022,5,121.1,4.743,4.037,1.146,medio
Asuncion Mita,oriente_seco,500,2022,6,302.9,3.777,10.097,0.37,bajo
Asuncion Mita,oriente_seco,500,2022,7,63.6,4.264,2.12,1.921,alto
Asuncion Mita,oriente_seco,500,2022,8,86.3,4.284,2.877,1.439,medio
Asuncion Mita,oriente_seco,500,2022,9,248.1,3.796,8.27,0.454,bajo
Asuncion Mita,oriente_seco,500,2022,10,199.3,3.679,6.643,0.546,bajo
Asuncion Mita,oriente_seco,500,2022,11,22.9,3.385,0.763,3.921,alto
Asuncion Mita,oriente_seco,500,2022,12,5.4,3.464,0.18,12.373,alto
Asuncion Mita,oriente_seco,500,2023,1,0.5,3.98,0.017,34.118,alto
Asuncion Mita,oriente_seco,500,2023,2,0.2,4.813,0.007,45.125,alto
Asuncion Mita,oriente_seco,500,2023,3,1.4,5.504,0.047,37.529,alto
Asuncion Mita,oriente_seco,500,2023,4,4.1,6.136,0.137,25.926,alto
Asuncion Mita,oriente_seco,500,2023,5,66.9,5.785,2.23,2.483,alto
Asuncion Mita,oriente_seco,500,2023,6,113.0,4.967,3.767,1.285,medio
Asuncion Mita,oriente_seco,500,2023,7,145.3,4.602,4.843,0.931,bajo
Asuncion Mita,oriente_seco,500,2023,8,53.7,4.427,1.79,2.342,alto
Asuncion Mita,oriente_seco,500,2023,9,88.5,4.404,2.95,1.444,medio
Asuncion Mita,oriente_seco,500,2023,10,122.9,3.498,4.097,0.833,bajo
Asuncion Mita,oriente_seco,500,2023,11,115.3,3.276,3.843,0.831,bajo
Asuncion Mita,oriente_seco,500,2023,12,2.1,3.657,0.07,21.513,alto
Asuncion Mita,oriente_seco,500,2024,1,0.4,4.614,0.013,40.714,alto
Asuncion Mita,oriente_seco,500,2024,2,0.4,6.017,0.013,53.087,alto
Asuncion Mita,oriente_seco,500,2024,3,0.8,6.287,0.027,49.631,alto
Asuncion Mita,oriente_seco,500,2024,4,12.2,5.904,0.407,11.653,alto
Asuncion Mita,oriente_seco,500,2024,5,10.0,5.717,0.333,13.194,alto
Asuncion Mita,oriente_seco,500,2024,6,436.5,3.899,14.55,0.266,bajo
Asuncion Mita,oriente_seco,500,2024,7,123.9,4.392,4.13,1.038,medio
Asuncion Mita,oriente_seco,500,2024,8,104.4,4.404,3.48,1.23,medio
Asuncion Mita,oriente_seco,500,2024,9,192.0,4.061,6.4,0.625,bajo
Asuncion Mita,oriente_seco,500,2024,10,65.0,3.561,2.167,1.571,alto
Asuncion Mita,oriente_seco,500,2024,11,134.0,3.497,4.467,0.766,bajo
Asuncion Mita,oriente_seco,500,2024,12,39.0,3.455,1.3,2.468,alto
Ayutla,costa_sur,40,2010,1,5.3,5.216,0.177,18.853,alto
Ayutla,costa_sur,40,2010,2,3.3,5.722,0.11,27.249,alto
Ayutla,costa_sur,40,2010,3,30.5,6.278,1.017,5.622,alto
Ayutla,costa_sur,40,2010,4,141.7,6.33,4.723,1.312,medio
Ayutla,costa_sur,40,2010,5,444.0,5.381,14.8,0.361,bajo
Ayutla,costa_sur,40,2010,6,733.0,3.982,24.433,0.162,bajo
Ayutla,costa_sur,40,2010,7,405.8,4.61,13.527,0.338,bajo
Ayutla,costa_sur,40,2010,8,430.1,4.203,14.337,0.291,bajo
Ayutla,costa_sur,40,2010,9,658.8,3.631,21.96,0.165,bajo
Ayutla,costa_sur,40,2010,10,104.2,4.91,3.473,1.374,medio
Ayutla,costa_sur,40,2010,11,90.4,4.575,3.013,1.469,medio
Ayutla,costa_sur,40,2010,12,17.6,4.568,0.587,6.653,alto
Ayutla,costa_sur,40,2011,1,3.6,4.758,0.12,21.625,alto
Ayutla,costa_sur,40,2011,2,17.1,5.54,0.57,8.269,alto
Ayutla,costa_sur,40,2011,3,32.9,6.028,1.097,5.037,alto
Ayutla,costa_sur,40,2011,4,76.9,5.431,2.563,2.039,alto
Ayutla,costa_sur,40,2011,5,535.3,5.933,17.843,0.331,bajo
Ayutla,costa_sur,40,2011,6,420.9,4.804,14.03,0.34,bajo
Ayutla,costa_sur,40,2011,7,420.8,4.532,14.027,0.321,bajo
Ayutla,costa_sur,40,2011,8,448.0,4.822,14.933,0.321,bajo
Ayutla,costa_sur,40,2011,9,457.3,4.449,15.243,0.29,bajo
Ayutla,costa_sur,40,2011,10,558.6,3.819,18.62,0.204,bajo
Ayutla,costa_sur,40,2011,11,121.4,4.755,4.047,1.147,medio
Ayutla,costa_sur,40,2011,12,11.3,4.609,0.377,9.67,alto
Ayutla,costa_sur,40,2012,1,6.0,4.64,0.2,15.465,alto
Ayutla,costa_sur,40,2012,2,17.7,5.113,0.59,7.41,alto
Ayutla,costa_sur,40,2012,3,20.7,6.068,0.69,7.681,alto
Ayutla,costa_sur,40,2012,4,65.7,6.031,2.19,2.634,alto
Ayutla,costa_sur,40,2012,5,406.9,4.788,13.563,0.35,bajo
Ayutla,costa_sur,40,2012,6,330.8,4.533,11.027,0.407,bajo
Ayutla,costa_sur,40,2012,7,134.9,5.332,4.497,1.16,medio
Ayutla,costa_sur,40,2012,8,366.6,4.784,12.22,0.388,bajo
Ayutla,costa_sur,40,2012,9,195.8,5.017,6.527,0.757,bajo
Ayutla,costa_sur,40,2012,10,249.7,4.593,8.323,0.545,bajo
Ayutla,costa_sur,40,2012,11,30.5,4.788,1.017,4.288,alto
Ayutla,costa_sur,40,2012,12,12.4,4.666,0.413,9.09,alto
Ayutla,costa_sur,40,2013,1,10.6,4.98,0.353,10.986,alto
Ayutla,costa_sur,40,2013,2,8.2,5.538,0.273,14.834,alto
Ayutla,costa_sur,40,2013,3,4.7,6.153,0.157,23.972,alto
Ayutla,costa_sur,40,2013,4,43.9,5.967,1.463,3.817,alto
Ayutla,costa_sur,40,2013,5,212.4,5.24,7.08,0.73,bajo
Ayutla,costa_sur,40,2013,6,286.2,4.829,9.54,0.501,bajo
Ayutla,costa_sur,40,2013,7,141.4,5.078,4.713,1.055,medio
Ayutla,costa_sur,40,2013,8,296.2,5.084,9.873,0.51,bajo
Ayutla,costa_sur,40,2013,9,497.3,4.15,16.577,0.249,bajo
Ayutla,costa_sur,40,2013,10,491.3,4.567,16.377,0.277,bajo
Ayutla,costa_sur,40,2013,11,161.1,4.319,5.37,0.79,bajo
Ayutla,costa_sur,40,2013,12,54.9,4.455,1.83,2.308,alto
Ayutla,costa_sur,40,2014,1,3.7,4.842,0.123,21.68,alto
Ayutla,costa_sur,40,2014,2,13.2,5.15,0.44,9.537,alto
Ayutla,costa_sur,40,2014,3,29.5,5.909,0.983,5.455,alto
Ayutla,costa_sur,40,2014,4,47.2,5.928,1.573,3.543,alto
Ayutla,costa_sur,40,2014,5,356.0,4.9,11.867,0.409,bajo
Ayutla,costa_sur,40,2014,6,291.1,4.789,9.703,0.488,bajo
Ayutla,costa_sur,40,2014,7,163.6,5.525,5.453,0.995,bajo
Ayutla,costa_sur,40,2014,8,280.0,5.002,9.333,0.53,bajo
Ayutla,costa_sur,40,2014,9,379.5,4.303,12.65,0.337,bajo
Ayutla,costa_sur,40,2014,10,471.8,3.98,15.727,0.251,bajo
Ayutla,costa_sur,40,2014,11,122.9,4.61,4.097,1.098,medio
Ayutla,costa_sur,40,2014,12,4.3,4.609,0.143,18.943,alto
Ayutla,costa_sur,40,2015,1,3.2,4.864,0.107,23.534,alto
Ayutla,costa_sur,40,2015,2,6.5,5.526,0.217,17.452,alto
Ayutla,costa_sur,40,2015,3,28.9,6.005,0.963,5.648,alto
Ayutla,costa_sur,40,2015,4,34.0,5.82,1.133,4.719,alto
Ayutla,costa_sur,40,2015,5,221.5,5.397,7.383,0.721,bajo
Ayutla,costa_sur,40,2015,6,475.5,5.009,15.85,0.314,bajo
Ayutla,costa_sur,40,2015,7,204.3,4.947,6.81,0.716,bajo
Ayutla,costa_sur,40,2015,8,147.9,5.283,4.93,1.05,medio
Ayutla,costa_sur,40,2015,9,324.7,4.455,10.823,0.408,bajo
Ayutla,costa_sur,40,2015,10,411.2,4.12,13.707,0.298,bajo
Ayutla,costa_sur,40,2015,11,299.0,4.383,9.967,0.435,bajo
Ayutla,costa_sur,40,2015,12,11.8,4.617,0.393,9.359,alto
Ayutla,costa_sur,40,2016,1,12.3,4.567,0.41,8.954,alto
Ayutla,costa_sur,40,2016,2,2.5,5.381,0.083,29.351,alto
Ayutla,costa_sur,40,2016,3,15.3,5.55,0.51,9.099,alto
Ayutla,costa_sur,40,2016,4,28.6,5.831,0.953,5.536,alto
Ayutla,costa_sur,40,2016,5,263.7,5.179,8.79,0.583,bajo
Ayutla,costa_sur,40,2016,6,481.1,4.661,16.037,0.289,bajo
Ayutla,costa_sur,40,2016,7,213.3,5.23,7.11,0.725,bajo
Ayutla,costa_sur,40,2016,8,248.9,5.107,8.297,0.608,bajo
Ayutla,costa_sur,40,2016,9,318.9,4.567,10.63,0.426,bajo
Ayutla,costa_sur,40,2016,10,247.3,4.784,8.243,0.573,bajo
Ayutla,costa_sur,40,2016,11,162.4,4.468,5.413,0.81,bajo
Ayutla,costa_sur,40,2016,12,33.6,4.538,1.12,3.719,alto
Ayutla,costa_sur,40,2017,1,11.6,4.766,0.387,9.794,alto
Ayutla,costa_sur,40,2017,2,11.5,5.243,0.383,10.847,alto
Ayutla,costa_sur,40,2017,3,23.8,5.785,0.793,6.476,alto
Ayutla,costa_sur,40,2017,4,28.0,6.215,0.933,6.015,alto
Ayutla,costa_sur,40,2017,5,544.0,4.726,18.133,0.259,bajo
Ayutla,costa_sur,40,2017,6,354.6,4.105,11.82,0.344,bajo
Ayutla,costa_sur,40,2017,7,196.7,4.954,6.557,0.744,bajo
Ayutla,costa_sur,40,2017,8,193.0,4.962,6.433,0.759,bajo
Ayutla,costa_sur,40,2017,9,787.3,4.361,26.243,0.166,bajo
Ayutla,costa_sur,40,2017,10,283.4,4.286,9.447,0.449,bajo
Ayutla,costa_sur,40,2017,11,47.4,4.86,1.58,2.893,alto
Ayutla,costa_sur,40,2017,12,7.4,4.545,0.247,13.112,alto
Ayutla,costa_sur,40,2018,1,8.0,4.68,0.267,12.762,alto
Ayutla,costa_sur,40,2018,2,6.8,5.388,0.227,16.493,alto
Ayutla,costa_sur,40,2018,3,8.4,5.845,0.28,15.381,alto
Ayutla,costa_sur,40,2018,4,181.7,5.023,6.057,0.816,bajo
Ayutla,costa_sur,40,2018,5,318.7,5.107,10.623,0.476,bajo
Ayutla,costa_sur,40,2018,6,222.5,4.365,7.417,0.581,bajo
Ayutla,costa_sur,40,2018,7,160.1,5.622,5.337,1.034,medio
Ayutla,costa_sur,40,2018,8,239.4,5.398,7.98,0.668,bajo
Ayutla,costa_sur,40,2018,9,271.5,4.605,9.05,0.503,bajo
Ayutla,costa_sur,40,2018,10,637.6,3.931,21.253,0.184,bajo
Ayutla,costa_sur,40,2018,11,55.2,4.664,1.84,2.404,alto
Ayutla,costa_sur,40,2018,12,5.6,4.541,0.187,15.84,alto
Ayutla,costa_sur,40,2019,1,9.2,4.651,0.307,11.437,alto
Ayutla,costa_sur,40,2019,2,16.3,5.149,0.543,8.004,alto
Ayutla,costa_sur,40,2019,3,42.2,5.867,1.407,3.894,alto
Ayutla,costa_sur,40,2019,4,27.3,6.122,0.91,6.061,alto
Ayutla,costa_sur,40,2019,5,558.9,4.815,18.63,0.257,bajo
Ayutla,costa_sur,40,2019,6,291.4,5.139,9.713,0.524,bajo
Ayutla,costa_sur,40,2019,7,163.8,5.414,5.46,0.974,bajo
Ayutla,costa_sur,40,2019,8,180.4,5.135,6.013,0.84,bajo
Ayutla,costa_sur,40,2019,9,405.9,4.491,13.53,0.329,bajo
Ayutla,costa_sur,40,2019,10,440.0,4.229,14.667,0.286,bajo
Ayutla,costa_sur,40,2019,11,80.9,4.695,2.697,1.679,alto
Ayutla,costa_sur,40,2019,12,12.9,4.555,0.43,8.594,alto
Ayutla,costa_sur,40,2020,1,10.1,4.719,0.337,10.808,alto
Ayutla,costa_sur,40,2020,2,2.4,5.324,0.08,29.576,alto
Ayutla,costa_sur,40,2020,3,14.2,5.993,0.473,10.454,alto
Ayutla,costa_sur,40,2020,4,31.9,5.744,1.063,4.938,alto
Ayutla,costa_sur,40,2020,5,303.0,4.807,10.1,0.471,bajo
Ayutla,costa_sur,40,2020,6,536.7,4.417,17.89,0.246,bajo
Ayutla,costa_sur,40,2020,7,233.1,4.974,7.77,0.632,bajo
Ayutla,costa_sur,40,2020,8,400.3,4.688,13.343,0.349,bajo
Ayutla,costa_sur,40,2020,9,276.8,4.631,9.227,0.497,bajo
Ayutla,costa_sur,40,2020,10,287.3,4.241,9.577,0.438,bajo
Ayutla,costa_sur,40,2020,11,348.9,4.018,11.63,0.343,bajo
Ayutla,costa_sur,40,2020,12,6.4,4.464,0.213,14.248,alto
Ayutla,costa_sur,40,2021,1,26.8,4.564,0.893,4.595,alto
Ayutla,costa_sur,40,2021,2,3.7,5.194,0.123,23.257,alto
Ayutla,costa_sur,40,2021,3,19.6,5.638,0.653,7.484,alto
Ayutla,costa_sur,40,2021,4,88.6,5.428,2.953,1.778,alto
Ayutla,costa_sur,40,2021,5,267.7,5.081,8.923,0.563,bajo
Ayutla,costa_sur,40,2021,6,531.7,4.483,17.723,0.252,bajo
Ayutla,costa_sur,40,2021,7,347.6,5.249,11.587,0.449,bajo
Ayutla,costa_sur,40,2021,8,415.2,4.723,13.84,0.339,bajo
Ayutla,costa_sur,40,2021,9,305.8,4.698,10.193,0.456,bajo
Ayutla,costa_sur,40,2021,10,157.0,4.472,5.233,0.838,bajo
Ayutla,costa_sur,40,2021,11,49.4,4.595,1.647,2.63,alto
Ayutla,costa_sur,40,2021,12,19.9,4.5,0.663,5.896,alto
Ayutla,costa_sur,40,2022,1,4.9,4.645,0.163,17.64,alto
Ayutla,costa_sur,40,2022,2,3.5,5.315,0.117,24.532,alto
Ayutla,costa_sur,40,2022,3,18.3,5.83,0.61,8.211,alto
Ayutla,costa_sur,40,2022,4,76.0,5.846,2.533,2.22,alto
Ayutla,costa_sur,40,2022,5,496.4,4.569,16.547,0.274,bajo
Ayutla,costa_sur,40,2022,6,649.4,4.176,21.647,0.192,bajo
Ayutla,costa_sur,40,2022,7,186.0,5.176,6.2,0.822,bajo
Ayutla,costa_sur,40,2022,8,338.2,4.844,11.273,0.426,bajo
Ayutla,costa_sur,40,2022,9,475.0,4.124,15.833,0.259,bajo
Ayutla,costa_sur,40,2022,10,182.3,4.383,6.077,0.71,bajo
Ayutla,costa_sur,40,2022,11,92.5,4.188,3.083,1.316,medio
Ayutla,costa_sur,40,2022,12,13.8,4.403,0.46,7.862,alto
Ayutla,costa_sur,40,2023,1,11.1,4.617,0.37,9.824,alto
Ayutla,costa_sur,40,2023,2,1.3,5.213,0.043,36.369,alto
Ayutla,costa_sur,40,2023,3,50.6,5.305,1.687,2.969,alto
Ayutla,costa_sur,40,2023,4,26.1,5.901,0.87,6.083,alto
Ayutla,costa_sur,40,2023,5,67.0,5.601,2.233,2.4,alto
Ayutla,costa_sur,40,2023,6,348.5,5.331,11.617,0.455,bajo
Ayutla,costa_sur,40,2023,7,104.2,5.353,3.473,1.498,medio
Ayutla,costa_sur,40,2023,8,205.7,5.017,6.857,0.721,bajo
