municipio,zona,altitud_m,year,month,solar_radiation,solar_clear_sky,nasa_rainfall,nasa_humidity,nasa_temp,dew_point,nasa_temp_max,nasa_temp_min,wind_speed_10m,wind_speed_2m,zona
Asuncion Mita,oriente_seco,500,2010,1,18.09,21.74,1.01,76.62,18.82,13.81,32.36,8.52,4.83,3.2,oriente_seco
Asuncion Mita,oriente_seco,500,2010,2,19.68,23.51,0.67,69.61,21.49,14.62,33.19,10.91,3.79,2.56,oriente_seco
Asuncion Mita,oriente_seco,500,2010,3,23.0,25.73,0.07,60.84,23.1,13.6,35.8,10.99,3.97,2.77,oriente_seco
Asuncion Mita,oriente_seco,500,2010,4,20.64,25.97,1.82,66.88,24.5,16.79,35.62,14.77,2.64,1.85,oriente_seco
Asuncion Mita,oriente_seco,500,2010,5,19.5,27.09,5.7,73.47,24.01,18.05,34.99,15.99,2.63,1.83,oriente_seco
Asuncion Mita,oriente_seco,500,2010,6,18.49,26.82,10.57,86.13,22.07,19.45,28.85,17.35,2.45,1.61,oriente_seco
Asuncion Mita,oriente_seco,500,2010,7,19.89,27.0,5.07,87.28,21.52,19.15,27.65,16.37,2.17,1.4,oriente_seco
Asuncion Mita,oriente_seco,500,2010,8,17.88,26.67,9.31,88.7,21.33,19.26,27.05,15.7,1.88,1.2,oriente_seco
Asuncion Mita,oriente_seco,500,2010,9,17.09,25.81,8.27,90.26,20.97,19.22,26.25,16.65,2.65,1.7,oriente_seco
Asuncion Mita,oriente_seco,500,2010,10,18.68,24.17,0.44,86.9,19.5,17.09,26.16,12.18,3.42,2.19,oriente_seco
Asuncion Mita,oriente_seco,500,2010,11,18.28,22.15,0.41,85.2,18.55,15.82,26.59,9.06,3.54,2.29,oriente_seco
Asuncion Mita,oriente_seco,500,2010,12,18.01,21.18,0.29,80.26,16.67,12.83,27.79,8.77,4.63,3.02,oriente_seco
Asuncion Mita,oriente_seco,500,2010,13,19.1,24.83,3.64,79.4,21.04,16.64,35.8,8.52,3.22,2.13,oriente_seco
Asuncion Mita,oriente_seco,500,2011,1,18.47,21.46,0.24,74.35,20.07,14.52,30.31,11.52,3.7,2.42,oriente_seco
Asuncion Mita,oriente_seco,500,2011,2,20.13,23.91,0.48,69.63,21.09,14.18,31.59,12.76,3.59,2.43,oriente_seco
Asuncion Mita,oriente_seco,500,2011,3,22.38,26.19,0.24,62.09,21.66,12.47,34.0,12.23,3.87,2.65,oriente_seco
Asuncion Mita,oriente_seco,500,2011,4,20.49,24.37,1.49,61.9,24.21,14.92,35.53,14.2,2.47,1.73,oriente_seco
Asuncion Mita,oriente_seco,500,2011,5,21.38,26.35,3.0,73.35,23.69,17.82,33.02,15.64,2.7,1.87,oriente_seco
Asuncion Mita,oriente_seco,500,2011,6,19.01,26.76,6.53,80.1,22.37,18.34,30.84,17.13,2.07,1.38,oriente_seco
Asuncion Mita,oriente_seco,500,2011,7,19.86,26.7,7.65,87.18,21.36,18.98,27.25,17.01,2.09,1.34,oriente_seco
Asuncion Mita,oriente_seco,500,2011,8,20.7,26.82,5.51,86.22,21.73,19.14,27.4,17.12,1.8,1.13,oriente_seco
Asuncion Mita,oriente_seco,500,2011,9,18.48,25.57,6.75,87.42,21.17,18.84,27.28,17.1,1.98,1.25,oriente_seco
Asuncion Mita,oriente_seco,500,2011,10,16.12,23.97,9.72,89.78,19.67,17.84,26.15,12.95,3.0,1.93,oriente_seco
Asuncion Mita,oriente_seco,500,2011,11,18.32,22.21,0.69,86.59,18.78,16.31,26.14,9.83,3.94,2.54,oriente_seco
Asuncion Mita,oriente_seco,500,2011,12,17.03,20.89,0.8,86.48,18.1,15.61,25.94,10.98,4.56,2.96,oriente_seco
Asuncion Mita,oriente_seco,500,2011,13,19.36,24.6,3.61,78.83,21.15,16.59,35.53,9.83,2.98,1.97,oriente_seco
Asuncion Mita,oriente_seco,500,2012,1,17.39,21.57,0.49,81.39,18.91,15.22,27.74,11.34,4.27,2.8,oriente_seco
Asuncion Mita,oriente_seco,500,2012,2,19.02,23.78,0.67,76.5,20.51,15.47,31.4,14.59,3.86,2.59,oriente_seco
Asuncion Mita,oriente_seco,500,2012,3,23.22,26.45,0.63,68.47,21.57,14.25,32.72,12.45,4.19,2.87,oriente_seco
Asuncion Mita,oriente_seco,500,2012,4,22.45,26.56,1.27,65.73,23.05,15.04,33.15,13.67,2.64,1.82,oriente_seco
Asuncion Mita,oriente_seco,500,2012,5,19.11,26.07,5.34,76.58,23.18,18.18,33.09,16.59,1.74,1.18,oriente_seco
Asuncion Mita,oriente_seco,500,2012,6,19.39,26.99,3.3,81.16,22.39,18.6,29.43,16.71,2.26,1.48,oriente_seco
Asuncion Mita,oriente_seco,500,2012,7,22.57,27.19,3.78,82.58,21.81,18.38,28.86,17.09,3.11,2.04,oriente_seco
Asuncion Mita,oriente_seco,500,2012,8,20.33,26.61,9.31,84.57,21.88,18.91,28.7,17.32,1.82,1.16,oriente_seco
Asuncion Mita,oriente_seco,500,2012,9,20.1,25.96,3.58,85.54,21.31,18.58,27.14,15.68,2.14,1.36,oriente_seco
Asuncion Mita,oriente_seco,500,2012,10,18.79,24.17,3.37,86.94,20.57,18.13,27.31,14.35,2.51,1.6,oriente_seco
Asuncion Mita,oriente_seco,500,2012,11,17.98,22.25,1.09,83.31,18.47,15.23,26.48,10.46,5.05,3.31,oriente_seco
Asuncion Mita,oriente_seco,500,2012,12,17.97,20.93,0.54,77.44,19.64,14.79,29.9,11.32,3.95,2.58,oriente_seco
Asuncion Mita,oriente_seco,500,2012,13,19.86,24.88,2.8,79.2,21.11,16.74,33.15,10.46,3.13,2.06,oriente_seco
Asuncion Mita,oriente_seco,500,2013,1,17.71,21.68,0.58,75.34,20.23,14.88,31.15,10.69,4.48,3.0,oriente_seco
Asuncion Mita,oriente_seco,500,2013,2,20.66,23.77,0.34,68.23,22.02,14.55,33.5,12.06,3.35,2.27,oriente_seco
Asuncion Mita,oriente_seco,500,2013,3,22.08,25.79,0.83,64.64,21.42,13.18,35.6,9.45,5.01,3.45,oriente_seco
Asuncion Mita,oriente_seco,500,2013,4,20.91,24.76,0.76,63.1,24.88,16.09,35.3,15.27,2.88,2.05,oriente_seco
Asuncion Mita,oriente_seco,500,2013,5,19.99,25.21,3.56,70.77,23.65,17.13,34.52,15.39,2.59,1.81,oriente_seco
Asuncion Mita,oriente_seco,500,2013,6,19.51,26.79,5.7,81.91,22.48,18.85,30.41,17.19,2.36,1.56,oriente_seco
Asuncion Mita,oriente_seco,500,2013,7,20.34,26.99,5.22,85.87,21.4,18.73,27.2,16.38,2.58,1.66,oriente_seco
Asuncion Mita,oriente_seco,500,2013,8,21.03,26.82,7.23,86.43,21.47,18.9,28.04,16.57,2.2,1.41,oriente_seco
Asuncion Mita,oriente_seco,500,2013,9,17.62,25.74,4.27,87.43,21.37,19.04,27.31,15.84,1.76,1.11,oriente_seco
Asuncion Mita,oriente_seco,500,2013,10,18.99,23.91,5.18,88.07,21.31,19.1,27.35,16.3,1.95,1.24,oriente_seco
Asuncion Mita,oriente_seco,500,2013,11,17.19,21.81,1.56,86.73,19.69,17.25,26.8,11.82,3.73,2.41,oriente_seco
Asuncion Mita,oriente_seco,500,2013,12,16.63,20.74,0.71,83.11,19.44,16.17,27.41,13.69,3.85,2.51,oriente_seco
Asuncion Mita,oriente_seco,500,2013,13,19.38,24.5,3.02,78.54,21.6,17.0,35.6,9.45,3.06,2.04,oriente_seco
Asuncion Mita,oriente_seco,500,2014,1,18.54,21.75,0.45,78.24,18.7,14.2,29.63,8.43,4.72,3.14,oriente_seco
Asuncion Mita,oriente_seco,500,2014,2,20.33,23.86,0.44,71.51,21.72,15.25,32.06,15.32,3.0,2.03,oriente_seco
Asuncion Mita,oriente_seco,500,2014,3,22.66,25.87,0.61,65.86,23.38,15.31,35.71,14.53,3.07,2.14,oriente_seco
Asuncion Mita,oriente_seco,500,2014,4,21.62,25.71,0.31,62.91,24.21,15.53,33.94,12.6,3.49,2.47,oriente_seco
Asuncion Mita,oriente_seco,500,2014,5,19.16,25.79,5.23,76.12,23.15,18.12,33.36,16.8,2.61,1.81,oriente_seco
Asuncion Mita,oriente_seco,500,2014,6,18.68,26.76,8.32,85.42,22.15,19.39,27.73,17.23,1.91,1.24,oriente_seco
Asuncion Mita,oriente_seco,500,2014,7,23.51,27.24,2.11,82.92,22.09,18.75,28.45,17.15,3.41,2.24,oriente_seco
Asuncion Mita,oriente_seco,500,2014,8,22.66,26.93,6.69,84.25,21.67,18.64,28.93,16.16,2.47,1.6,oriente_seco
Asuncion Mita,oriente_seco,500,2014,9,18.33,25.72,8.33,87.89,21.16,18.92,27.03,16.17,1.71,1.08,oriente_seco
Asuncion Mita,oriente_seco,500,2014,10,17.96,23.89,7.9,88.16,20.69,18.52,27.26,13.87,2.47,1.59,oriente_seco
Asuncion Mita,oriente_seco,500,2014,11,17.19,21.95,1.22,87.07,18.95,16.6,26.92,12.64,4.55,2.97,oriente_seco
Asuncion Mita,oriente_seco,500,2014,12,17.22,20.9,0.79,85.97,18.24,15.64,26.58,12.9,4.48,2.91,oriente_seco
Asuncion Mita,oriente_seco,500,2014,13,19.83,24.7,3.55,79.75,21.34,17.08,35.71,8.43,3.16,2.1,oriente_seco
Asuncion Mita,oriente_seco,500,2015,1,16.96,21.64,0.43,81.58,18.62,15.0,28.7,10.36,5.32,3.52,oriente_seco
Asuncion Mita,oriente_seco,500,2015,2,20.23,23.87,0.41,75.09,19.67,14.27,31.16,11.88,4.43,2.98,oriente_seco
Asuncion Mita,oriente_seco,500,2015,3,21.59,26.06,0.99,70.66,21.7,15.09,32.54,13.7,4.03,2.77,oriente_seco
Asuncion Mita,oriente_seco,500,2015,4,22.27,26.09,1.54,68.34,24.35,17.09,34.85,16.08,2.93,2.07,oriente_seco
Asuncion Mita,oriente_seco,500,2015,5,22.51,26.77,3.7,71.81,23.57,17.37,33.35,16.55,2.65,1.84,oriente_seco
Asuncion Mita,oriente_seco,500,2015,6,20.43,26.74,6.05,83.86,22.08,18.95,30.17,17.25,3.0,2.0,oriente_seco
Asuncion Mita,oriente_seco,500,2015,7,21.82,27.04,3.39,80.7,22.27,18.4,29.14,16.9,2.93,1.94,oriente_seco
Asuncion Mita,oriente_seco,500,2015,8,23.41,27.06,3.85,78.55,22.8,18.4,30.8,17.18,2.74,1.81,oriente_seco
Asuncion Mita,oriente_seco,500,2015,9,18.05,25.53,8.6,86.57,21.66,19.15,28.32,17.14,1.68,1.05,oriente_seco
Asuncion Mita,oriente_seco,500,2015,10,18.13,23.66,6.07,87.4,21.53,19.18,27.74,16.14,2.16,1.36,oriente_seco
Asuncion Mita,oriente_seco,500,2015,11,16.96,21.79,3.3,88.5,20.59,18.47,27.67,13.95,3.12,2.01,oriente_seco
Asuncion Mita,oriente_seco,500,2015,12,17.78,20.53,0.71,85.36,20.54,17.76,27.92,13.82,3.44,2.2,oriente_seco
Asuncion Mita,oriente_seco,500,2015,13,20.02,24.74,3.26,79.89,21.62,17.44,34.85,10.36,3.2,2.13,oriente_seco
Asuncion Mita,oriente_seco,500,2016,1,17.98,21.39,0.31,78.16,19.59,15.08,29.93,8.6,3.83,2.53,oriente_seco
Asuncion Mita,oriente_seco,500,2016,2,19.86,24.13,0.61,75.05,19.37,14.13,31.77,10.19,5.86,3.96,oriente_seco
Asuncion Mita,oriente_seco,500,2016,3,20.81,25.44,0.52,68.33,23.82,16.54,35.44,14.47,2.91,2.01,oriente_seco
Asuncion Mita,oriente_seco,500,2016,4,21.0,25.5,0.83,65.28,24.67,16.51,35.95,13.96,3.37,2.37,oriente_seco
Asuncion Mita,oriente_seco,500,2016,5,21.68,25.71,1.67,68.73,25.21,18.09,35.8,17.15,2.22,1.56,oriente_seco
Asuncion Mita,oriente_seco,500,2016,6,21.04,26.99,6.03,79.13,22.89,18.57,33.62,16.03,2.42,1.63,oriente_seco
Asuncion Mita,oriente_seco,500,2016,7,22.58,27.26,5.03,82.61,22.21,18.78,28.98,16.78,2.86,1.87,oriente_seco
Asuncion Mita,oriente_seco,500,2016,8,21.73,26.98,5.59,85.18,22.05,19.2,28.35,17.37,2.43,1.56,oriente_seco
Asuncion Mita,oriente_seco,500,2016,9,19.83,25.84,7.11,86.9,21.49,19.05,27.11,16.01,2.15,1.37,oriente_seco
Asuncion Mita,oriente_seco,500,2016,10,19.45,24.19,2.17,85.19,20.81,17.97,27.96,14.02,2.93,1.88,oriente_seco
Asuncion Mita,oriente_seco,500,2016,11,16.83,21.81,0.96,82.93,19.94,16.59,29.2,14.1,4.51,2.96,oriente_seco
Asuncion Mita,oriente_seco,500,2016,12,16.4,20.58,0.81,79.48,20.62,16.38,29.92,13.61,4.37,2.89,oriente_seco
Asuncion Mita,oriente_seco,500,2016,13,19.93,24.65,2.64,78.09,21.9,17.25,35.95,8.6,3.31,2.21,oriente_seco
Asuncion Mita,oriente_seco,500,2017,1,19.22,21.82,0.48,72.65,19.98,13.86,31.39,10.93,4.26,2.84,oriente_seco
Asuncion Mita,oriente_seco,500,2017,2,20.49,23.6,0.22,68.51,21.99,14.65,32.66,13.37,3.56,2.41,oriente_seco
Asuncion Mita,oriente_seco,500,2017,3,21.88,26.14,1.02,68.07,21.48,14.16,33.3,13.13,4.95,3.41,oriente_seco
Asuncion Mita,oriente_seco,500,2017,4,24.02,26.56,0.88,63.76,24.05,15.37,34.98,16.16,3.46,2.43,oriente_seco
Asuncion Mita,oriente_seco,500,2017,5,19.64,26.45,6.48,79.5,23.21,18.99,31.14,16.73,1.96,1.33,oriente_seco
Asuncion Mita,oriente_seco,500,2017,6,18.02,26.8,7.46,85.89,22.09,19.41,28.92,17.52,1.91,1.24,oriente_seco
Asuncion Mita,oriente_seco,500,2017,7,21.37,27.07,6.66,86.65,21.7,19.19,26.89,16.62,2.91,1.89,oriente_seco
Asuncion Mita,oriente_seco,500,2017,8,21.58,26.99,6.2,86.0,21.81,19.19,27.22,17.01,2.2,1.4,oriente_seco
Asuncion Mita,oriente_seco,500,2017,9,19.04,25.84,7.27,88.22,21.73,19.56,27.7,17.01,1.89,1.21,oriente_seco
Asuncion Mita,oriente_seco,500,2017,10,16.41,23.99,4.14,89.19,20.54,18.59,26.45,13.97,2.98,1.92,oriente_seco
Asuncion Mita,oriente_seco,500,2017,11,17.84,22.15,0.51,86.18,19.22,16.65,26.23,11.0,4.09,2.65,oriente_seco
Asuncion Mita,oriente_seco,500,2017,12,16.56,20.9,0.36,83.76,18.37,15.28,26.81,9.36,4.98,3.26,oriente_seco
Asuncion Mita,oriente_seco,500,2017,13,19.66,24.86,3.49,79.95,21.34,17.09,34.98,9.36,3.26,2.17,oriente_seco
Asuncion Mita,oriente_seco,500,2018,1,17.6,21.69,0.79,78.56,17.81,13.52,27.91,9.82,5.89,3.92,oriente_seco
Asuncion Mita,oriente_seco,500,2018,2,21.41,24.23,0.56,71.53,20.83,14.33,31.19,13.72,4.07,2.73,oriente_seco
Asuncion Mita,oriente_seco,500,2018,3,23.57,26.32,0.17,62.22,23.14,13.94,35.0,12.15,3.65,2.52,oriente_seco
Asuncion Mita,oriente_seco,500,2018,4,21.1,25.85,4.39,69.49,23.29,16.41,33.4,15.13,2.95,2.05,oriente_seco
Asuncion Mita,oriente_seco,500,2018,5,20.8,26.46,6.47,78.72,23.09,18.69,30.68,16.1,2.0,1.35,oriente_seco
Asuncion Mita,oriente_seco,500,2018,6,19.63,26.75,6.29,85.74,21.76,19.07,27.58,17.23,1.96,1.27,oriente_seco
Asuncion Mita,oriente_seco,500,2018,7,23.25,26.99,3.27,82.74,21.87,18.48,29.78,15.94,3.46,2.26,oriente_seco
Asuncion Mita,oriente_seco,500,2018,8,22.29,27.09,10.02,85.87,21.68,18.99,27.64,16.32,2.6,1.67,oriente_seco
Asuncion Mita,oriente_seco,500,2018,9,19.88,26.03,7.07,87.13,21.63,19.23,27.31,16.65,1.96,1.24,oriente_seco
Asuncion Mita,oriente_seco,500,2018,10,17.1,24.06,4.98,88.5,20.7,18.6,26.64,15.59,2.73,1.74,oriente_seco
Asuncion Mita,oriente_seco,500,2018,11,18.38,21.91,1.78,86.21,20.32,17.76,27.42,13.19,3.31,2.12,oriente_seco
Asuncion Mita,oriente_seco,500,2018,12,18.46,20.94,0.55,82.42,18.82,15.43,27.84,9.3,3.95,2.54,oriente_seco
Asuncion Mita,oriente_seco,500,2018,13,20.29,24.86,3.88,79.97,21.24,17.05,35.0,9.3,3.21,2.12,oriente_seco
Asuncion Mita,oriente_seco,500,2019,1,18.24,21.75,0.44,75.91,19.54,14.45,29.97,11.45,4.17,2.73,oriente_seco
Asuncion Mita,oriente_seco,500,2019,2,20.82,23.87,0.34,68.47,22.27,14.99,33.0,13.92,3.13,2.11,oriente_seco
Asuncion Mita,oriente_seco,500,2019,3,23.34,26.37,0.39,61.62,23.02,13.75,34.18,12.87,4.04,2.78,oriente_seco
Asuncion Mita,oriente_seco,500,2019,4,21.53,25.63,1.18,61.4,24.69,15.38,36.07,14.66,3.22,2.27,oriente_seco
Asuncion Mita,oriente_seco,500,2019,5,19.33,25.64,8.1,81.89,22.92,19.3,31.19,17.48,2.24,1.5,oriente_seco
Asuncion Mita,oriente_seco,500,2019,6,22.3,27.19,4.85,84.64,22.73,19.77,29.22,17.42,2.41,1.57,oriente_seco
Asuncion Mita,oriente_seco,500,2019,7,23.39,27.41,5.8,82.89,22.24,18.91,28.84,16.74,2.88,1.85,oriente_seco
Asuncion Mita,oriente_seco,500,2019,8,22.53,27.21,6.93,85.12,22.47,19.65,28.33,16.37,1.97,1.24,oriente_seco
Asuncion Mita,oriente_seco,500,2019,9,21.04,25.94,7.29,86.79,21.9,19.42,28.36,16.44,1.97,1.24,oriente_seco
Asuncion Mita,oriente_seco,500,2019,10,17.8,23.81,7.08,88.34,21.58,19.43,27.13,16.35,1.92,1.21,oriente_seco
Asuncion Mita,oriente_seco,500,2019,11,17.93,21.92,0.95,87.03,19.99,17.58,26.6,13.23,3.78,2.43,oriente_seco
Asuncion Mita,oriente_seco,500,2019,12,17.66,20.65,0.57,83.76,19.41,16.26,28.84,12.43,3.81,2.46,oriente_seco
Asuncion Mita,oriente_seco,500,2019,13,20.49,24.78,3.69,79.06,21.89,17.42,36.07,11.45,2.96,1.95,oriente_seco
Asuncion Mita,oriente_seco,500,2020,1,18.06,21.41,0.48,78.33,20.23,15.75,31.01,11.9,4.37,2.89,oriente_seco
Asuncion Mita,oriente_seco,500,2020,2,20.93,23.99,0.38,70.34,21.65,14.95,32.46,13.27,4.44,2.99,oriente_seco
Asuncion Mita,oriente_seco,500,2020,3,23.26,26.34,0.3,64.35,23.46,14.93,35.03,13.09,3.77,2.62,oriente_seco
Asuncion Mita,oriente_seco,500,2020,4,21.74,24.45,0.5,61.04,26.04,16.62,37.06,18.65,2.45,1.75,oriente_seco
Asuncion Mita,oriente_seco,500,2020,5,19.22,25.33,7.55,75.34,23.79,18.51,32.87,17.6,2.41,1.64,oriente_seco
Asuncion Mita,oriente_seco,500,2020,6,19.56,26.96,7.84,85.91,22.04,19.35,28.0,17.35,2.96,1.93,oriente_seco
Asuncion Mita,oriente_seco,500,2020,7,20.89,26.99,6.66,85.71,21.88,19.2,27.35,16.62,2.24,1.43,oriente_seco
Asuncion Mita,oriente_seco,500,2020,8,21.03,26.94,7.1,87.85,21.54,19.29,27.56,16.58,2.41,1.54,oriente_seco
Asuncion Mita,oriente_seco,500,2020,9,20.76,25.93,9.07,87.91,21.69,19.45,27.56,16.66,1.78,1.12,oriente_seco
Asuncion Mita,oriente_seco,500,2020,10,17.99,23.71,6.63,88.43,21.2,19.08,27.45,16.67,2.19,1.38,oriente_seco
Asuncion Mita,oriente_seco,500,2020,11,14.67,21.6,6.7,89.39,20.15,18.25,26.14,15.79,3.77,2.43,oriente_seco
Asuncion Mita,oriente_seco,500,2020,12,17.23,20.85,0.33,87.11,18.54,16.2,26.92,10.49,3.95,2.54,oriente_seco
Asuncion Mita,oriente_seco,500,2020,13,19.61,24.54,4.47,80.19,21.85,17.64,37.06,10.49,3.06,2.02,oriente_seco
Asuncion Mita,oriente_seco,500,2021,1,18.19,21.71,0.74,85.66,19.12,16.42,27.23,12.24,3.85,2.5,oriente_seco
Asuncion Mita,oriente_seco,500,2021,2,21.41,24.09,0.7,77.54,19.85,15.2,30.31,9.64,3.58,2.35,oriente_seco
Asuncion Mita,oriente_seco,500,2021,3,23.4,26.66,1.0,71.82,21.72,15.34,32.16,12.07,3.88,2.64,oriente_seco
Asuncion Mita,oriente_seco,500,2021,4,21.22,26.64,1.32,70.92,23.49,17.03,35.05,15.51,3.35,2.33,oriente_seco
Asuncion Mita,oriente_seco,500,2021,5,20.37,26.64,10.68,76.15,23.36,18.25,33.04,17.14,2.83,1.94,oriente_seco
Asuncion Mita,oriente_seco,500,2021,6,20.57,26.84,9.36,86.82,22.05,19.6,28.1,17.51,1.67,1.09,oriente_seco
Asuncion Mita,oriente_seco,500,2021,7,22.63,27.29,4.61,86.83,21.72,19.25,27.43,16.44,2.79,1.8,oriente_seco
Asuncion Mita,oriente_seco,500,2021,8,21.51,26.84,7.51,87.35,21.67,19.32,27.37,16.89,1.94,1.23,oriente_seco
Asuncion Mita,oriente_seco,500,2021,9,20.02,26.02,5.48,88.3,21.64,19.48,27.93,17.13,1.99,1.25,oriente_seco
Asuncion Mita,oriente_seco,500,2021,10,19.81,24.08,4.47,87.33,21.53,19.17,28.01,14.4,2.13,1.34,oriente_seco
Asuncion Mita,oriente_seco,500,2021,11,17.59,22.05,1.09,86.49,18.88,16.39,25.68,11.51,4.46,2.88,oriente_seco
Asuncion Mita,oriente_seco,500,2021,12,17.46,20.8,0.63,83.99,19.41,16.33,27.67,10.7,3.52,2.25,oriente_seco
Asuncion Mita,oriente_seco,500,2021,13,20.34,24.97,3.99,82.47,21.21,17.66,35.05,9.64,3.0,1.96,oriente_seco
Asuncion Mita,oriente_seco,500,2022,1,17.88,21.58,0.72,79.96,19.17,15.09,29.01,11.15,3.83,2.51,oriente_seco
Asuncion Mita,oriente_seco,500,2022,2,19.75,24.0,1.34,75.86,20.23,15.07,30.07,12.92,4.48,3.0,oriente_seco
Asuncion Mita,oriente_seco,500,2022,3,21.87,26.02,6.68,74.78,21.61,16.2,31.17,14.28,3.65,2.48,oriente_seco
Asuncion Mita,oriente_seco,500,2022,4,21.11,26.44,2.45,70.11,23.69,16.79,33.68,14.23,2.66,1.84,oriente_seco
Asuncion Mita,oriente_seco,500,2022,5,20.59,26.44,9.85,80.02,22.56,18.41,32.77,14.93,2.44,1.62,oriente_seco
Asuncion Mita,oriente_seco,500,2022,6,17.69,26.81,9.58,86.02,21.21,18.57,26.97,16.43,2.52,1.65,oriente_seco
Asuncion Mita,oriente_seco,500,2022,7,20.28,26.94,6.15,86.51,21.61,19.07,27.51,16.49,2.82,1.83,oriente_seco
Asuncion Mita,oriente_seco,500,2022,8,20.29,26.83,10.52,87.18,21.61,19.22,27.47,17.09,2.19,1.39,oriente_seco
Asuncion Mita,oriente_seco,500,2022,9,17.88,25.51,7.44,88.13,21.55,19.37,26.5,16.45,1.72,1.09,oriente_seco
Asuncion Mita,oriente_seco,500,2022,10,17.98,23.93,4.85,88.72,20.82,18.76,27.03,14.0,2.92,1.85,oriente_seco
Asuncion Mita,oriente_seco,500,2022,11,16.16,21.5,2.09,87.69,20.36,18.1,27.49,15.15,2.82,1.79,oriente_seco
Asuncion Mita,oriente_seco,500,2022,12,16.94,20.66,0.37,85.82,18.79,16.2,27.02,12.54,4.0,2.56,oriente_seco
Asuncion Mita,oriente_seco,500,2022,13,19.04,24.72,5.2,82.62,21.1,17.58,33.68,11.15,3.0,1.96,oriente_seco
Asuncion Mita,oriente_seco,500,2023,1,19.13,21.56,6.43,82.41,19.02,15.62,27.91,8.74,3.64,2.35,oriente_seco
Asuncion Mita,oriente_seco,500,2023,2,20.7,24.05,0.09,77.21,20.24,15.47,31.08,12.94,4.23,2.81,oriente_seco
Asuncion Mita,oriente_seco,500,2023,3,21.27,25.59,0.29,67.86,23.0,15.54,33.49,13.46,2.93,2.0,oriente_seco
Asuncion Mita,oriente_seco,500,2023,4,22.62,25.6,0.48,62.17,24.77,15.63,34.83,14.59,2.66,1.87,oriente_seco
Asuncion Mita,oriente_seco,500,2023,5,21.24,25.66,2.09,65.28,25.42,17.3,35.6,18.5,2.37,1.65,oriente_seco
Asuncion Mita,oriente_seco,500,2023,6,20.23,26.71,4.32,75.48,24.3,19.01,34.26,17.92,2.04,1.36,oriente_seco
Asuncion Mita,oriente_seco,500,2023,7,20.2,26.9,5.08,81.87,23.11,19.49,30.73,17.18,2.8,1.83,oriente_seco
Asuncion Mita,oriente_seco,500,2023,8,19.84,26.71,4.27,83.06,22.85,19.53,29.27,17.01,2.36,1.51,oriente_seco
Asuncion Mita,oriente_seco,500,2023,9,20.25,25.97,9.77,85.37,22.48,19.69,28.42,17.21,2.12,1.32,oriente_seco
Asuncion Mita,oriente_seco,500,2023,10,16.52,23.67,4.47,88.61,21.69,19.59,27.65,15.07,2.48,1.57,oriente_seco
Asuncion Mita,oriente_seco,500,2023,11,15.76,21.61,2.32,88.08,20.68,18.49,27.57,13.54,3.76,2.42,oriente_seco
Asuncion Mita,oriente_seco,500,2023,12,16.95,20.58,1.06,82.86,19.52,16.21,28.37,9.6,4.46,2.91,oriente_seco
Asuncion Mita,oriente_seco,500,2023,13,19.55,24.55,3.41,78.37,22.26,17.64,35.6,8.74,2.98,1.96,oriente_seco
Asuncion Mita,oriente_seco,500,2024,1,18.73,21.33,0.08,75.16,21.2,15.87,32.29,12.12,3.6,2.36,oriente_seco
Asuncion Mita,oriente_seco,500,2024,2,21.96,24.16,0.05,64.6,21.44,12.95,34.58,10.58,3.95,2.65,oriente_seco
Asuncion Mita,oriente_seco,500,2024,3,22.68,25.33,5.92,64.72,24.74,16.29,36.38,15.77,3.1,2.13,oriente_seco
Asuncion Mita,oriente_seco,500,2024,4,21.57,25.93,1.09,68.09,24.88,17.55,35.09,17.14,3.32,2.32,oriente_seco
Asuncion Mita,oriente_seco,500,2024,5,20.92,25.06,2.38,67.96,26.4,18.91,36.48,19.94,2.38,1.67,oriente_seco
Asuncion Mita,oriente_seco,500,2024,6,16.49,26.4,7.64,83.6,23.43,20.15,31.92,18.82,2.89,1.93,oriente_seco
Asuncion Mita,oriente_seco,500,2024,7,20.48,26.74,5.65,86.07,22.43,19.79,28.25,16.78,2.7,1.73,oriente_seco
Asuncion Mita,oriente_seco,500,2024,8,20.31,26.75,5.38,85.23,22.45,19.63,28.25,17.32,2.48,1.58,oriente_seco
Asuncion Mita,oriente_seco,500,2024,9,18.51,25.54,6.01,86.75,22.75,20.25,29.28,17.63,1.72,1.1,oriente_seco
Asuncion Mita,oriente_seco,500,2024,10,16.61,23.6,2.34,86.61,21.44,18.93,27.66,15.63,3.24,2.09,oriente_seco
Asuncion Mita,oriente_seco,500,2024,11,15.72,21.43,2.72,83.42,20.77,17.56,29.0,11.85,3.24,2.08,oriente_seco
Asuncion Mita,oriente_seco,500,2024,12,14.4,20.34,0.89,81.48,20.0,16.37,28.67,13.52,5.08,3.35,oriente_seco
Asuncion Mita,oriente_seco,500,2024,13,19.03,24.38,3.35,77.85,22.66,17.87,36.48,10.58,3.14,2.08,oriente_seco
Ayutla,costa_sur,40,2010,1,20.02,20.89,0.06,66.14,25.31,17.98,31.96,20.13,2.03,1.41,costa_sur
Ayutla,costa_sur,40,2010,2,21.29,22.79,0.06,64.49,26.59,18.7,32.85,21.9,2.26,1.56,costa_sur
Ayutla,costa_sur,40,2010,3,23.45,24.75,0.11,64.93,27.37,19.59,34.23,20.86,2.43,1.72,costa_sur
